rank,experiment_id,phase,split,category,model,val_spearman_mean,val_spearman_std,train_spearman_mean,gap_mean,n_folds,overfitting_flag,stability_flag,source_file
92,2C_DL_TabTransformer_ScaffoldSplit,Phase 2C,Scaffold Split,DL,TabTransformer,0.3717269521593087,0.1543178885106116,0.8896359630222523,0.5179090108629436,3,True,False,colon_numeric_context_smiles_dl_v1_scaffoldcv.json
93,2A_DL_TabTransformer_ScaffoldSplit,Phase 2A,Scaffold Split,DL,TabTransformer,0.37161896071566103,0.14429935769663124,0.8336931112149695,0.46207415049930844,3,True,False,colon_numeric_dl_v1_scaffoldcv.json
94,2B_ML_RandomForest_ScaffoldSplit,Phase 2B,Scaffold Split,ML,RandomForest,0.37116398721071087,0.1195423400051664,0.9311123669434928,0.5599483797327819,3,True,False,colon_numeric_smiles_ml_v1_scaffoldcv.json
95,2C_ML_ExtraTrees_DrugSplit,Phase 2C,Drug Split,ML,ExtraTrees,0.36989155756653486,0.048977079242850614,1.0,0.6301084424334651,3,True,True,colon_numeric_context_smiles_ml_v1_groupcv.json
96,2B_DL_FTTransformer_ScaffoldSplit,Phase 2B,Scaffold Split,DL,FTTransformer,0.3692538271079459,0.13255544274976802,0.8183262465998892,0.44907241949194326,3,True,False,colon_numeric_smiles_dl_v1_scaffoldcv.json
97,2A_DL_TabNet_ScaffoldSplit,Phase 2A,Scaffold Split,DL,TabNet,0.3678952586944721,0.1686780439170264,0.8879308961861409,0.5200356374916688,3,True,False,colon_numeric_dl_v1_scaffoldcv.json
98,2C_DL_ResidualMLP_ScaffoldSplit,Phase 2C,Scaffold Split,DL,ResidualMLP,0.3654894224442229,0.19021683558829888,0.9308338119898397,0.5653443895456168,3,True,False,colon_numeric_context_smiles_dl_v1_scaffoldcv.json
99,2A_Graph_GraphSAGE_DrugSplit,Phase 2A,Drug Split,Graph,GraphSAGE,0.3642623423824079,0.18067865500109334,0.5759624831890419,0.21170014080663396,3,True,False,colon_numeric_graph_v1_groupcv.json
100,2A_DL_ResidualMLP_ScaffoldSplit,Phase 2A,Scaffold Split,DL,ResidualMLP,0.361967793890796,0.1526516063658176,0.86680034634364,0.5048325524528441,3,True,False,colon_numeric_dl_v1_scaffoldcv.json
101,2C_DL_FTTransformer_ScaffoldSplit,Phase 2C,Scaffold Split,DL,FTTransformer,0.36065122090712337,0.15311025216580457,0.8781410559151213,0.517489835007998,3,True,False,colon_numeric_context_smiles_dl_v1_scaffoldcv.json
102,2B_DL_ResidualMLP_ScaffoldSplit,Phase 2B,Scaffold Split,DL,ResidualMLP,0.3595789399369309,0.15525320069419812,0.8694845874020087,0.5099056474650778,3,True,False,colon_numeric_smiles_dl_v1_scaffoldcv.json
103,2C_DL_FlatMLP_ScaffoldSplit,Phase 2C,Scaffold Split,DL,FlatMLP,0.35726583005270296,0.1688219678061542,0.9059530914967637,0.5486872614440608,3,True,False,colon_numeric_context_smiles_dl_v1_scaffoldcv.json
104,2B_DL_TabNet_ScaffoldSplit,Phase 2B,Scaffold Split,DL,TabNet,0.3562364324559078,0.14799543412705393,0.8930823292907264,0.5368458968348186,3,True,False,colon_numeric_smiles_dl_v1_scaffoldcv.json
105,2B_DL_TabTransformer_ScaffoldSplit,Phase 2B,Scaffold Split,DL,TabTransformer,0.35170717412947244,0.11260466138759308,0.8300433118697276,0.47833613774025513,3,True,False,colon_numeric_smiles_dl_v1_scaffoldcv.json
106,2B_ML_XGBoost_ScaffoldSplit,Phase 2B,Scaffold Split,ML,XGBoost,0.3490226901219731,0.05725811386737907,0.9207120513410807,0.5716893612191076,3,True,True,colon_numeric_smiles_ml_v1_scaffoldcv.json
107,2A_DL_WideDeep_ScaffoldSplit,Phase 2A,Scaffold Split,DL,WideDeep,0.34824972479572125,0.14311335833468164,0.8449398790539663,0.49669015425824503,3,True,False,colon_numeric_dl_v1_scaffoldcv.json
108,2B_DL_WideDeep_ScaffoldSplit,Phase 2B,Scaffold Split,DL,WideDeep,0.34797910026359263,0.14413830800852165,0.8427473017456327,0.4947682014820401,3,True,False,colon_numeric_smiles_dl_v1_scaffoldcv.json
109,2C_DL_TabNet_ScaffoldSplit,Phase 2C,Scaffold Split,DL,TabNet,0.34525516451519583,0.1775191395088265,0.9499188033931415,0.6046636388779456,3,True,False,colon_numeric_context_smiles_dl_v1_scaffoldcv.json
110,2A_DL_FlatMLP_ScaffoldSplit,Phase 2A,Scaffold Split,DL,FlatMLP,0.341234335831707,0.14928668098446535,0.848773985907744,0.507539650076037,3,True,False,colon_numeric_dl_v1_scaffoldcv.json
111,2C_ML_LightGBM_ScaffoldSplit,Phase 2C,Scaffold Split,ML,LightGBM,0.3394969897792861,0.1494218350881565,0.9437879876959293,0.6042909979166432,3,True,False,colon_numeric_context_smiles_ml_v1_scaffoldcv.json
112,2A_ML_XGBoost_ScaffoldSplit,Phase 2A,Scaffold Split,ML,XGBoost,0.3372732166300528,0.1037041468633797,0.9179865408907487,0.5807133242606959,3,True,False,colon_numeric_ml_v1_scaffoldcv.json
113,2A_Graph_GraphSAGE_ScaffoldSplit,Phase 2A,Scaffold Split,Graph,GraphSAGE,0.33582153191134473,0.19595797406124166,0.670416601903259,0.3345950699919143,3,True,False,colon_numeric_graph_v1_scaffoldcv.json
114,2C_DL_WideDeep_ScaffoldSplit,Phase 2C,Scaffold Split,DL,WideDeep,0.3354587846826587,0.15192119657820055,0.8963608829896805,0.5609020983070219,3,True,False,colon_numeric_context_smiles_dl_v1_scaffoldcv.json
115,2B_DL_FlatMLP_ScaffoldSplit,Phase 2B,Scaffold Split,DL,FlatMLP,0.3347188614924148,0.1430041330426011,0.846940197138968,0.5122213356465531,3,True,False,colon_numeric_smiles_dl_v1_scaffoldcv.json
116,2B_Graph_GraphSAGE_ScaffoldSplit,Phase 2B,Scaffold Split,Graph,GraphSAGE,0.33436948894231766,0.19946977039669256,0.6871109957424798,0.35274150680016214,3,True,False,colon_numeric_smiles_graph_v1_scaffoldcv.json
117,2C_ML_LightGBM_DART_ScaffoldSplit,Phase 2C,Scaffold Split,ML,LightGBM_DART,0.3294183291372618,0.15890225889472392,0.9115214271692739,0.5821030980320121,3,True,False,colon_numeric_context_smiles_ml_v1_scaffoldcv.json
118,2B_DL_CrossAttention_ScaffoldSplit,Phase 2B,Scaffold Split,DL,CrossAttention,0.3233623162214077,0.13655199977057852,0.8356399816515818,0.5122776654301742,3,True,False,colon_numeric_smiles_dl_v1_scaffoldcv.json
119,2C_Graph_GraphSAGE_ScaffoldSplit,Phase 2C,Scaffold Split,Graph,GraphSAGE,0.3182771870986762,0.17578155463952355,0.6792448729312386,0.3609676858325624,3,True,False,colon_numeric_context_smiles_graph_v1_scaffoldcv.json
120,2C_DL_CrossAttention_ScaffoldSplit,Phase 2C,Scaffold Split,DL,CrossAttention,0.3117871726915978,0.1480195447198723,0.8951054581314432,0.5833182854398453,3,True,False,colon_numeric_context_smiles_dl_v1_scaffoldcv.json
