canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,y_true_mean,n_cell_lines,drug_name_norm,DRUG_NAME,TARGET,TARGET_PATHWAY,rank,rank_20260428_colon_v2
1811,-3.8779856184962926,0.6122776182796288,-4.794112793122428,-2.141869298587387,-2.3932862,35,dactinomycin,Dactinomycin,RNA polymerase,Other,1,1
1080,-1.9727778834003953,0.994570164263114,-3.2422048048780447,0.8233452778663641,-2.260472,34,paclitaxel,Paclitaxel,Microtubule stabiliser,Mitosis,2,2
1004,-1.88130152959283,0.8877903561946269,-2.972125143163342,0.4396240209206846,-2.883335,32,vinblastine,Vinblastine,Microtubule destabiliser,Mitosis,3,3
2048,-1.6594675574451558,0.8887211268890233,-2.7013098666115463,1.06243229498815,-2.8993995,34,vinorelbine,Vinorelbine,Microtubule destabiliser,Mitosis,4,4
1007,-1.3270215996310566,0.9575443694301804,-2.6757079592681885,1.270446408688791,-3.7785606,35,docetaxel,Docetaxel,Microtubule stabiliser,Mitosis,5,5
1809,-1.1010943237644248,0.9092352016410448,-2.1926845645232595,1.515404746287297,1.8319936,35,teniposide,Teniposide,,DNA replication,6,6
1016,-0.9397781208459692,0.7418608798334463,-2.0084161137890555,0.9926970667275864,2.0678022,34,temsirolimus,Temsirolimus,MTOR,PI3K/MTOR signaling,7,7
1084,-0.7914829007194344,0.7248989367182039,-1.8774746689476705,1.1935458202936435,-1.4873266,33,rapamycin,Rapamycin,MTORC1,PI3K/MTOR signaling,8,8
1024,-0.7814684715852739,0.6189374168063226,-1.4909149862564322,1.1383406414206632,0.1444848,35,lestaurtinib,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",9,9
1014,-0.4660854717227367,0.6198914511230816,-1.2409042248964377,1.3409616542042948,0.4142785,35,refametinib,Refametinib,"MEK1, MEK2",ERK MAPK signaling,10,10
1003,-0.2178194859610918,0.7263120858746933,-1.0421588202773562,1.931103465783504,-1.4908013,35,camptothecin,Camptothecin,TOP1,DNA replication,11,11
1843,-0.1552241323799027,0.7861700010275823,-1.0717324052172483,2.0765737414648453,0.72543854,35,lmp744,LMP744,TOP1,DNA replication,12,12
1026,-0.0523994677521416,0.8361279499677489,-1.2587160791905667,1.974130497045966,-0.6439113,35,tanespimycin,Tanespimycin,HSP90,Protein stability and degradation,13,13
1034,0.0724530932993555,0.6390760274414361,-0.6902701993548904,2.1395217749132875,-2.5252082,35,staurosporine,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,14,14
1593,0.1305259346917407,0.7374534458452942,-0.8004103994851886,2.34485698219987,2.440601,35,entinostat,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,15,15
1372,0.669847320967591,0.6657980351325283,-0.0865022981169466,3.049077499191077,-2.4655933,35,trametinib,Trametinib,"MEK1, MEK2",ERK MAPK signaling,16,16
